regdate,temp1,temp2,temp3,temp4,temp5,temp6
2019-04-10 8:00,19.5,-81.4,-9.7,32.4,50.4,34.4
2019-04-10 8:01,20.8,-81,-5.1,32.3,51.6,34.2
2019-04-10 8:02,21.5,-80.6,-1.6,32.2,52.6,33.9
2019-04-10 8:08,33,-78.9,-20.8,33.7,51.5,36.9
2019-04-10 8:09,33.8,-78.6,-25.1,33.6,48.9,35.2
2019-04-10 8:10,36.1,-78.4,-26.1,34.1,46.8,37.9
2019-04-10 8:11,38.4,-78.1,-25.1,35,45.2,39.5
2019-04-10 8:12,38.9,-78,-24.6,35.5,44.1,39.6
2019-04-10 8:13,38.4,-78.3,-24.8,35.6,43.5,39.5
2019-04-10 8:14,38.4,-78.8,-24.9,35.6,42.9,39.3
2019-04-10 8:15,38.3,-79.3,-24.9,35.6,42.7,39.2
2019-04-10 8:16,38.1,-79.7,-24.9,35.7,42.4,39.1
2019-04-10 8:17,37.9,-80.1,-24.9,35.7,42.3,39.1
2019-04-10 8:18,37.8,-80.5,-24.9,35.7,42.2,38.6
2019-04-10 8:19,37.6,-80.8,-24.9,35.6,42.2,38.3
2019-04-10 8:20,37.5,-81,-24.9,35.6,42.1,38
2019-04-10 8:21,37.3,-81.3,-24.9,35.5,42.1,37.8
2019-04-10 8:22,37.6,-81.5,-25,35.5,42,37.5
2019-04-10 8:23,36.9,-81.7,-25,35.5,42,37.4
2019-04-10 8:24,36.9,-81.9,-25,35.5,42.1,37.2
2019-04-10 8:25,36.9,-82.1,-25.1,35.4,42.1,37.1
2019-04-10 8:26,31,-82.3,-23.6,35.1,43.5,37.4
2019-04-10 8:27,14.5,-82.4,-18.3,34.2,45.4,36.5
2019-04-10 8:28,14.9,-82.3,-16.7,33.6,47.1,35.7
2019-04-10 8:29,17.7,-82,-17.1,33.2,48.6,35.2
2019-04-10 8:30,19.2,-81.6,-13.6,33,49.9,34.8
2019-04-10 8:31,19.2,-81.6,-13.4,33,49.9,34.8
2019-04-10 8:32,21.5,-80.8,-3.5,32.7,52.3,34.3
2019-04-10 8:33,22.3,-80.4,0.8,32.5,53.2,34.1
2019-04-10 8:37,33.2,-78.9,-19.9,34.1,52.3,35.8
2019-04-10 8:38,33.8,-78.6,-24.5,33.8,49.9,34.8
2019-04-10 8:39,35.6,-78.4,-25.9,34.2,47.8,36.6
2019-04-10 8:40,37.8,-78.1,-25.4,34.9,46.1,39
2019-04-10 8:41,38.4,-77.9,-24.6,35.4,44.9,39.1
2019-04-10 8:42,38.3,-78,-24.6,35.6,44,39
2019-04-10 8:43,38.3,-78.5,-24.7,35.6,43.4,38.9
2019-04-10 8:44,38.4,-79,-24.7,35.7,43,38.9
2019-04-10 8:45,38.3,-79.5,-24.7,35.7,42.7,38.9
2019-04-10 8:46,38.1,-80,-24.7,35.8,42.6,38.9
2019-04-10 8:47,37.6,-80.4,-24.7,35.8,42.5,38.9
2019-04-10 8:48,37.8,-80.7,-24.7,35.8,42.4,38.7
2019-04-10 8:49,37.6,-80.9,-24.6,35.9,42.3,38.3
2019-04-10 8:50,37.6,-81.2,-24.7,35.8,42.3,38.1
2019-04-10 8:51,37.5,-81.4,-24.7,35.8,42.3,37.9
2019-04-10 8:52,37.3,-81.6,-24.7,35.8,42.3,37.7
2019-04-10 8:53,37.2,-81.8,-24.8,35.7,42.4,37.5
2019-04-10 8:54,37,-82,-24.8,35.6,42.3,37.3
2019-04-10 8:55,37,-82.2,-24.8,35.7,42.3,37.2
2019-04-10 8:56,27.1,-82.4,-21.7,34.8,44.3,37.3
2019-04-10 8:57,12.3,-82.4,-16.9,34.1,46.1,36.4
2019-04-10 8:58,16.5,-82.2,-16.8,33.6,47.8,35.8
2019-04-10 8:59,18.5,-81.9,-15.7,33.3,49.2,35.3
2019-04-10 9:00,20,-81.5,-10,33.1,50.5,34.9
2019-04-10 9:01,20.8,-81.2,-6.6,33,51.4,34.7
2019-04-10 9:02,20.8,-81.2,-6.6,33,51.4,34.7
2019-04-10 9:08,33.8,-78.7,-23.9,34,50.1,35.5
2019-04-10 9:09,35.6,-78.4,-25.9,34.2,48,37
2019-04-10 9:10,37.8,-78.1,-25.4,35.1,46.2,39.5
2019-04-10 9:11,39.2,-78,-24.5,35.7,44.9,39.8
2019-04-10 9:12,39,-78.1,-24.6,35.8,44.2,39.6
2019-04-10 9:13,38.4,-78.6,-24.7,35.8,43.4,39.5
2019-04-10 9:14,38.4,-79.1,-24.8,35.9,43.1,39.4
2019-04-10 9:15,38.4,-79.5,-24.8,35.9,42.8,39.3
2019-04-10 9:16,38.4,-79.9,-24.8,36,42.7,39.3
2019-04-10 9:17,38.4,-80.3,-24.8,36,42.6,39.1
2019-04-10 9:18,38.1,-80.6,-24.8,36,42.5,38.7
2019-04-10 9:19,37.9,-80.9,-24.8,36,42.5,38.4
2019-04-10 9:20,37.8,-81.1,-24.8,35.9,42.4,38.2
2019-04-10 9:21,37.5,-81.4,-24.8,35.8,42.4,38
2019-04-10 9:22,37.6,-81.6,-24.9,35.8,42.3,37.7
2019-04-10 9:23,37.2,-81.8,-24.9,35.7,42.3,37.5
2019-04-10 9:24,37.2,-82,-25,35.6,42.3,37.3
2019-04-10 9:25,36.9,-82.2,-25,35.6,42.3,37.2
2019-04-10 9:26,26.7,-82.3,-21.8,34.8,44.4,37.2
2019-04-10 9:27,12.6,-82.3,-16.9,34.1,46.2,36.4
2019-04-10 9:28,16.3,-82.2,-16.8,33.5,47.8,35.8
2019-04-10 9:29,18.5,-81.8,-16.3,33.2,49.3,35.3
2019-04-10 9:30,19.5,-81.6,-12.6,33,50.3,35.1
2019-04-10 9:31,19.5,-81.6,-12.6,33,50.3,35.1
2019-04-10 9:32,19.5,-81.6,-12.6,33,50.3,35.1
2019-04-10 9:37,33.5,-78.8,-21.5,34.2,51.6,37
2019-04-10 9:38,34.6,-78.6,-25,34.1,49.1,35.7
2019-04-10 9:39,36.9,-78.3,-25.8,34.6,47.2,38.3
2019-04-10 9:40,38.7,-78.1,-24.8,35.4,45.6,39.7
2019-04-10 9:41,39,-78,-24.4,35.8,44.7,39.8
2019-04-10 9:42,38.6,-78.3,-24.6,35.9,43.9,39.6
2019-04-10 9:43,38.4,-78.8,-24.7,35.9,43.3,39.5
2019-04-10 9:44,38.4,-79.3,-24.7,35.9,43,39.4
2019-04-10 9:45,38.4,-79.7,-24.7,36,42.8,39.4
2019-04-10 9:46,38.4,-80.1,-24.7,36,42.7,39.3
2019-04-10 9:47,38.3,-80.4,-24.7,36,42.6,38.9
2019-04-10 9:48,38.1,-80.7,-24.7,35.9,42.6,38.6
2019-04-10 9:49,37.6,-81,-24.7,35.9,42.4,38.3
2019-04-10 9:50,37.6,-81.3,-24.7,35.9,42.4,38.1
2019-04-10 9:51,37.6,-81.5,-24.8,35.9,42.4,37.9
2019-04-10 9:52,37.6,-81.7,-24.8,35.9,42.5,37.7
2019-04-10 9:53,37.3,-81.9,-24.8,35.9,42.5,37.5
2019-04-10 9:54,37.2,-82.1,-24.9,35.8,42.4,37.4
2019-04-10 9:55,34.4,-82.2,-24.4,35.7,43.3,37.7
2019-04-10 9:56,19.5,-82.4,-19.4,34.6,45.3,37
2019-04-10 9:57,14.6,-82.3,-16.5,34,47,36.1
2019-04-10 9:58,17.7,-82,-16.9,33.6,48.6,35.6
2019-04-10 9:59,19.2,-81.7,-14,33.3,50,35.2
2019-04-10 10:00,20.8,-81.3,-8.4,33.1,51.2,34.8
2019-04-10 10:01,21.2,-81.1,-6.6,33,51.6,34.7
2019-04-10 10:02,22.6,-80.5,-1,32.6,53.3,34.4
2019-04-10 10:06,33.8,-78.9,-19,34.4,52.9,35.3
2019-04-10 10:07,34,-78.7,-24.5,34.1,50.4,35.5
2019-04-10 10:08,36.1,-78.4,-25.9,34.5,48.2,36.9
2019-04-10 10:09,38.1,-78.2,-25.3,35.2,46.4,39.4
2019-04-10 10:10,39,-77.9,-24.5,35.7,45.1,39.6
2019-04-10 10:11,39,-78.1,-24.5,35.9,44.3,39.5
2019-04-10 10:12,38.6,-78.5,-24.6,36,43.7,39.4
2019-04-10 10:13,38.7,-79,-24.6,36,43.3,39.3
2019-04-10 10:14,38.3,-79.5,-24.6,36,43,39.3
2019-04-10 10:15,38.4,-79.9,-24.6,36.1,42.9,39.3
2019-04-10 10:16,38.4,-80.3,-24.6,36.1,42.8,39.3
2019-04-10 10:17,38.4,-80.6,-24.6,36.1,42.7,38.9
2019-04-10 10:18,38.3,-80.9,-24.6,36,42.6,38.5
2019-04-10 10:19,37.6,-81.1,-24.7,35.9,42.6,38.3
2019-04-10 10:20,37.8,-81.4,-24.7,35.9,42.6,38.1
2019-04-10 10:21,37.5,-81.6,-24.7,35.9,42.5,37.9
2019-04-10 10:22,37.5,-81.8,-24.7,35.8,42.5,37.6
2019-04-10 10:23,37.5,-82,-24.8,35.8,42.5,37.5
2019-04-10 10:24,37,-82.2,-24.8,35.8,42.5,37.3
2019-04-10 10:25,30.1,-82.3,-22.8,35.3,44.1,37.6
2019-04-10 10:26,13.4,-82.4,-17.5,34.4,46,36.7
2019-04-10 10:27,16,-82.2,-16.6,33.9,47.7,36
2019-04-10 10:28,18.3,-82,-16.4,33.4,49.2,35.5
2019-04-10 10:29,20.1,-81.6,-11.2,33.2,50.6,35.1
2019-04-10 10:30,21.4,-81.2,-6,33,51.7,34.8
2019-04-10 10:31,22.1,-80.8,-2.7,33,52.6,34.6
2019-04-10 10:32,22.1,-80.8,-2.7,33,52.6,34.6
2019-04-10 10:33,22.1,-80.8,-2.7,33,52.6,34.6
2019-04-10 10:36,33.7,-78.8,-21.3,34.3,52,36.7
2019-04-10 10:37,35,-78.6,-24.9,34.3,49.7,35.5
2019-04-10 10:38,36.7,-78.3,-25.7,34.8,47.7,38
2019-04-10 10:39,38.6,-78.1,-24.8,35.4,46,39.6
2019-04-10 10:40,39,-77.9,-24.4,35.8,45,39.5
2019-04-10 10:41,38.6,-78.2,-24.5,35.9,44.2,39.4
2019-04-10 10:42,38.4,-78.7,-24.5,35.1,43.7,39.3
2019-04-10 10:43,38.4,-79.2,-24.6,35.9,43.3,39.2
2019-04-10 10:44,38.3,-79.7,-24.6,36,43,39.2
2019-04-10 10:46,38.4,-80.1,-24.6,36.1,43,39.3
2019-04-10 10:47,38.4,-80.4,-24.5,36.1,42.8,39.2
2019-04-10 10:48,38.4,-80.7,-24.5,36.1,42.7,38.7
2019-04-10 10:49,37.9,-81,-24.6,36.1,42.7,38.5
2019-04-10 10:50,37.6,-81.2,-24.6,35.9,42.6,38.2
2019-04-10 10:51,37.6,-81.4,-24.6,35.9,42.7,38
2019-04-10 10:52,37.6,-81.7,-24.7,35.9,42.5,37.8
2019-04-10 10:53,36.9,-81.9,-24.7,35.8,42.5,37.5
2019-04-10 10:54,37.2,-82,-24.8,35.8,42.5,37.4
2019-04-10 10:55,36.9,-82.2,-24.8,35.8,42.7,37.3
2019-04-10 10:56,23.8,-82.4,-20.5,34.7,45,37.2
2019-04-10 10:57,13.5,-82.3,-16.6,34,46.8,36.4
2019-04-10 10:58,17.1,-82.1,-16.9,33.5,48.5,35.8
2019-04-10 10:59,18.9,-81.8,-14.5,33.3,49.9,35.4
