"행정구역","순이동"
"세종특별자치시",549
"인천광역시",3628
"수원시",5
"평택시",1302
"과천시",90
"남양주시",654
"용인시",718
"파주시",744
"이천시",647
"안성시",230
"화성시",1443
"양주시",766
"광주시",342
"여주시",135
"춘천시",158
"원주시",295
"강릉시",23
"동해시",137
"속초시",205
"청주시",88
"충주시",36
"천안시",121
"공주시",4
"아산시",657
"서산시",66
"논산시",2
"당진시",316
"김제시",62
"여수시",8
"광양시",143
"영주시",26
"경산시",207
"사천시",276
"밀양시",13
"제주시",375
"서귀포시",158
"기장군",135
"강화군",95
"옹진군",49
"가평군",17
"양평군",361
"횡성군",31
"영월군",13
"평창군",29
"인제군",14
"고성군",2
"보은군",16
"옥천군",59
"영동군",14
"증평군",94
"진천군",100
"음성군",109
"단양군",17
"금산군",51
"서천군",14
"예산군",54
"태안군",87
"완주군",458
"순창군",4
"고창군",10
"고흥군",5
"무안군",94
"함평군",4
"영광군",178
"장성군",73
"신안군",36
"예천군",120
"봉화군",7
"울진군",7
"함안군",3
"고성군",11
"산청군",31
"합천군",13
