"행정구역","남자인구수","여자인구수","총인구수"
"경기도",6840138,6749224,13589362
"강원도",774387,764791,1539178
"충청북도",811286,785877,1597163
"충청남도",1085037,1035974,2121011
"전라북도",884164,892785,1776949
"전라남도",918956,906578,1825534
"경상북도",1317139,1294877,2612016
"경상남도",1658198,1635511,3293709
"제주특별자치도",339951,338540,678491
"부산광역시",1629643,1704952,3334595
"대구광역시",1168845,1205275,2374120
"인천광역시",1482177,1478403,2960580
"광주광역시",709305,725398,1434703
"대전광역시",722366,725816,1448182
"울산광역시",572615,542138,1114753
"서울특별시",4604405,4888806,9493211
"세종특별자치시",190038,190851,380889
