s_measuretime,s_nodeid,s_volt,s_type,s_rmsx,s_rmsy,s_rmsz,s_temp,s_dir,v_type,v_lvol,v_rvol,v_ldir,v_rdir,vec,seta 
2022-11-09 9:51,0,3,8,0.47323,0.35717,0.32355,23,0,1,1,0,0,0,0.675427,105.025
2022-11-09 9:52,0,3,8,0.47376,0.35143,0.31766,23,0,1,1,0,0,0,0.66997,104.944
2022-11-09 9:53,0,3,8,0.46836,0.35561,0.31594,23,0,1,1,0,0,0,0.667561,104.991
2022-11-09 9:54,0,3,8,0.47408,0.35575,0.31676,23,0,1,1,0,0,0,0.672047,104.947
2022-11-09 9:55,0,3,8,0.48104,0.35758,0.32425,23,0,1,1,0,0,0,0.68147,104.963
2022-11-09 9:56,0,3,8,0.47871,0.36038,0.3296,23,0,1,1,0,0,0,0.683866,105.043
2022-11-09 9:57,0,3,8,0.48095,0.35991,0.31746,23,0,1,1,0,0,0,0.679433,104.904
2022-11-09 9:58,0,3,8,0.48074,0.36161,0.32198,23,0,1,1,0,0,0,0.682308,104.957
2022-11-09 9:59,0,3,8,0.48585,0.36263,0.32621,23,0,1,1,0,0,0,0.68845,104.956
2022-11-09 10:00,0,3,8,0.48393,0.36159,0.32606,23,0,1,1,0,0,0,0.686477,104.968
2022-11-09 10:01,0,3,8,0.48084,0.35645,0.32621,23,0,1,1,0,0,0,0.681672,104.978
2022-11-09 10:02,0,3,8,0.47742,0.35661,0.32181,23,0,1,1,0,0,0,0.677246,104.969
2022-11-09 10:03,0,3,8,0.48017,0.36018,0.32081,24,0,1,1,0,0,0,0.680597,104.946
2022-11-09 10:04,0,3,8,0.48173,0.36228,0.32212,23,0,1,1,0,0,0,0.683427,104.952
2022-11-09 10:05,0,3,8,0.47808,0.35581,0.327,23,0,1,1,0,0,0,0.679772,105.008
2022-11-09 10:06,0,3,8,0.47927,0.36191,0.32744,23,0,1,1,0,0,0,0.684029,105.024
2022-11-09 10:07,0,3,8,0.48156,0.36421,0.32004,23,0,1,1,0,0,0,0.683355,104.938
2022-11-09 10:08,0,3,8,0.48587,0.35986,0.32142,23,0,1,1,0,0,0,0.684748,104.899
2022-11-09 10:09,0,3,8,0.48527,0.36604,0.32185,23,0,1,1,0,0,0,0.687793,104.929
2022-11-09 10:10,0,3,8,0.48842,0.37085,0.32115,23,0,1,1,0,0,0,0.692258,104.906
2022-11-09 10:11,0,3,8,0.49116,0.36755,0.32381,23,0,1,1,0,0,0,0.693674,104.9
2022-11-09 10:12,0,3,8,0.49496,0.36812,0.3357,23,0,1,1,0,0,0,0.702276,104.982
2022-11-09 10:13,0,3,8,0.49398,0.37078,0.33655,23,0,1,1,0,0,0,0.703392,105.008
2022-11-09 10:14,0,3,8,0.48704,0.3676,0.33103,23,0,1,1,0,0,0,0.694204,105.007
2022-11-09 10:15,0,3,8,0.4893,0.36348,0.32458,23,0,1,1,0,0,0,0.690568,104.911
2022-11-09 10:16,0,3,8,0.49077,0.36696,0.33353,23,0,1,1,0,0,0,0.69768,104.995
2022-11-09 10:17,0,3,8,0.48778,0.36797,0.32497,23,0,1,1,0,0,0,0.692053,104.943
2022-11-09 10:18,0,3,8,0.48582,0.36766,0.32072,23,0,1,1,0,0,0,0.688517,104.916
