s_measuretime,s_rmsx,s_rmsy,s_rmsz
2022-11-09 9:51,0.47323,0.35717,0.32355
2022-11-09 9:52,0.47376,0.35143,0.31766
2022-11-09 9:53,0.46836,0.35561,0.31594
2022-11-09 9:54,0.47408,0.35575,0.31676
2022-11-09 9:55,0.48104,0.35758,0.32425
2022-11-09 9:56,0.47871,0.36038,0.3296
2022-11-09 9:57,0.48095,0.35991,0.31746
2022-11-09 9:58,0.48074,0.36161,0.32198
2022-11-09 9:59,0.48585,0.36263,0.32621
2022-11-09 10:00,0.48393,0.36159,0.32606
2022-11-09 10:01,0.48084,0.35645,0.32621
2022-11-09 10:02,0.47742,0.35661,0.32181
2022-11-09 10:03,0.48017,0.36018,0.32081
2022-11-09 10:04,0.48173,0.36228,0.32212
2022-11-09 10:05,0.47808,0.35581,0.327
2022-11-09 10:06,0.47927,0.36191,0.32744
2022-11-09 10:07,0.48156,0.36421,0.32004
2022-11-09 10:08,0.48587,0.35986,0.32142
2022-11-09 10:09,0.48527,0.36604,0.32185
2022-11-09 10:10,0.48842,0.37085,0.32115
2022-11-09 10:11,0.49116,0.36755,0.32381
2022-11-09 10:12,0.49496,0.36812,0.3357
2022-11-09 10:13,0.49398,0.37078,0.33655
2022-11-09 10:14,0.48704,0.3676,0.33103
2022-11-09 10:15,0.4893,0.36348,0.32458
2022-11-09 10:16,0.49077,0.36696,0.33353
2022-11-09 10:17,0.48778,0.36797,0.32497
2022-11-09 10:18,0.48582,0.36766,0.32072
2022-11-09 10:19,0.49406,0.36442,0.32752
2022-11-09 10:20,0.49146,0.37067,0.32836
2022-11-09 10:21,0.48981,0.36809,0.32408
2022-11-09 10:22,0.49171,0.3669,0.32142
2022-11-09 10:23,0.49245,0.3694,0.33352
2022-11-09 10:24,0.49439,0.36831,0.32088
2022-11-09 10:25,0.49752,0.37499,0.33164
2022-11-09 10:26,0.49695,0.36626,0.33614
2022-11-09 10:27,0.50571,0.37682,0.32886
2022-11-09 10:28,0.50579,0.37747,0.33509
2022-11-09 10:29,0.51283,0.37542,0.33884
