s_measuretime,s_rmsx,s_rmsy,s_rmsz
2022-11-23 10:05,0.4747,0.24819,0.48077
2022-11-23 10:06,0.48144,0.25221,0.47297
2022-11-23 10:07,0.4738,0.25211,0.48737
2022-11-23 10:08,0.49006,0.25174,0.4941
2022-11-23 10:09,0.49657,0.24527,0.49117
2022-11-23 10:10,0.48165,0.24586,0.47116
2022-11-23 10:11,0.48567,0.251,0.47116
2022-11-23 10:12,0.47082,0.24923,0.47482
2022-11-23 10:13,0.48705,0.24542,0.47304
2022-11-23 10:14,0.49164,0.24509,0.47703
2022-11-23 10:15,0.49609,0.24665,0.47804
2022-11-23 10:16,0.49268,0.2495,0.47924
2022-11-23 10:17,0.49368,0.25183,0.48879
2022-11-23 10:18,0.49018,0.248,0.48217
2022-11-23 10:19,0.4744,0.25024,0.48864
2022-11-23 10:20,0.47803,0.2486,0.48614
2022-11-23 10:21,0.49403,0.24688,0.47681
2022-11-23 10:22,0.49108,0.24601,0.48605
2022-11-23 10:23,0.49775,0.24947,0.48468
2022-11-23 10:24,0.47734,0.25139,0.48801
2022-11-23 10:25,0.48922,0.25078,0.49308
2022-11-23 10:26,0.48235,0.25285,0.49025
2022-11-23 10:27,0.4956,0.25412,0.49298
2022-11-23 10:28,0.47978,0.25749,0.48296
2022-11-23 10:29,0.48416,0.25169,0.48737
2022-11-23 10:30,0.48098,0.25607,0.49112
2022-11-23 10:31,0.47875,0.25718,0.48868
2022-11-23 10:32,0.48663,0.25494,0.49678
2022-11-23 10:33,0.49674,0.26091,0.48932
2022-11-23 10:34,0.49479,0.2577,0.49968
2022-11-23 10:35,0.47892,0.25678,0.49361
2022-11-23 10:36,0.4809,0.25616,0.49259
2022-11-23 10:37,0.49365,0.25979,0.50322
2022-11-23 10:38,0.50499,0.26213,0.49029
2022-11-23 10:39,0.4928,0.26289,0.4947
2022-11-23 10:40,0.49837,0.26153,0.50554
2022-11-23 10:41,0.511,0.25868,0.50252
2022-11-23 10:42,0.49729,0.26541,0.49518
2022-11-23 10:43,0.48988,0.26239,0.49211
2022-11-23 10:44,0.509,0.2578,0.49508
2022-11-23 10:45,0.49727,0.25762,0.50003
2022-11-23 10:46,0.48636,0.26387,0.49872
2022-11-23 10:47,0.51014,0.2556,0.4973
2022-11-23 10:48,0.50414,0.25628,0.50268
2022-11-23 10:49,0.50725,0.25936,0.50441
2022-11-23 10:50,0.5056,0.25863,0.4956
2022-11-23 10:51,0.49401,0.25716,0.49626
2022-11-23 10:52,0.50676,0.26027,0.49241
2022-11-23 10:53,0.48271,0.25812,0.49277
2022-11-23 10:54,0.5067,0.25496,0.49022
2022-11-23 10:55,0.48302,0.25835,0.49135
2022-11-23 10:56,0.49696,0.25916,0.49846
2022-11-23 10:57,0.48442,0.25593,0.49474
2022-11-23 10:58,0.50313,0.26103,0.48694
2022-11-23 10:59,0.50237,0.25824,0.49549
2022-11-23 11:00,0.4869,0.26534,0.4962
2022-11-23 11:01,0.49108,0.26258,0.49326
2022-11-23 11:02,0.49509,0.26545,0.50131
2022-11-23 11:03,0.4971,0.26317,0.49057
2022-11-23 11:04,0.48991,0.26079,0.50255
2022-11-23 11:05,0.4867,0.26162,0.49949
2022-11-23 11:06,0.48802,0.2612,0.50563
2022-11-23 11:07,0.4881,0.26299,0.4899
2022-11-23 11:08,0.50802,0.25573,0.49606
2022-11-23 11:09,0.50424,0.25888,0.48871
2022-11-23 11:10,0.49923,0.2617,0.48872
2022-11-23 11:11,0.48623,0.26355,0.49465
2022-11-23 11:12,0.49488,0.26272,0.50071
2022-11-23 11:13,0.4872,0.26035,0.50192
2022-11-23 11:14,0.49811,0.25931,0.48593
2022-11-23 11:15,0.49408,0.26087,0.50218
2022-11-23 11:16,0.49494,0.26176,0.50307
2022-11-23 11:17,0.4937,0.2586,0.50714
2022-11-23 11:18,0.5089,0.26383,0.49718
2022-11-23 11:19,0.48874,0.26187,0.50727
2022-11-23 11:20,0.48686,0.25711,0.50073
2022-11-23 11:21,0.49047,0.25857,0.49243
2022-11-23 11:22,0.4927,0.26095,0.50436
2022-11-23 11:23,0.4968,0.26043,0.50025
2022-11-23 11:24,0.48781,0.26181,0.50753
2022-11-23 11:25,0.48656,0.26046,0.50033
2022-11-23 11:26,0.50941,0.25935,0.50125
2022-11-23 11:27,0.5042,0.26514,0.5081
2022-11-23 11:28,0.49164,0.25986,0.50683
2022-11-23 11:29,0.51054,0.25928,0.49633
2022-11-23 11:30,0.49218,0.26219,0.50185
2022-11-23 11:31,0.50964,0.26125,0.49838
2022-11-23 11:32,0.48788,0.26381,0.50077
2022-11-23 11:33,0.52034,0.26306,0.50012
2022-11-23 11:34,0.49439,0.26558,0.50126
2022-11-23 11:35,0.50016,0.26747,0.51392
2022-11-23 11:36,0.50721,0.26569,0.51913
2022-11-23 11:37,0.49971,0.2669,0.51015
2022-11-23 11:38,0.49638,0.26364,0.50022
2022-11-23 11:39,0.5944,0.26481,0.59088
2022-11-23 11:40,0.59012,0.26214,0.59267
2022-11-23 11:41,0.5942,0.25868,0.59009
2022-11-23 11:42,0.61033,0.26088,0.59629
2022-11-23 11:43,0.59147,0.26234,0.59438
2022-11-23 11:44,0.59062,0.26328,0.58695
2022-11-23 11:44,0.59099,0.26146,0.5938
2022-11-23 11:45,0.61607,0.25985,0.58989
2022-11-23 11:46,0.59364,0.26251,0.58642
2022-11-23 11:47,0.59113,0.26196,0.58542
2022-11-23 11:48,0.58609,0.26192,0.58089
2022-11-23 11:49,0.58662,0.26034,0.58664
2022-11-23 11:50,0.58649,0.26158,0.58746
2022-11-23 11:51,0.59301,0.26381,0.59356
2022-11-23 11:52,0.60123,0.25742,0.57773
